placeid,name,norm,trainline,joinkey,latitude,longitude
1325,FIRENZE SANTA MARIA NOVELLA,FIRENZE SANTA MARIA NOVELLA,,FIRENZE SANTA MARIA NOVELLA,43.77681,11.247806
1316,FIRENZE STATUTO,FIRENZE STATUTO,,FIRENZE STATUTO,43.787319,11.249703
1326,FISCIANO,FISCIANO,,FISCIANO,40.761082,14.77565
3151,FIUMARA GAZZI,FIUMARA GAZZI,,FIUMARA GAZZI,38.169097,15.550214
63,FIUMEFREDDO BRUZIO,FIUMEFREDDO BRUZIO,,FIUMEFREDDO BRUZIO,39.245501,16.058977
1328,FIUMEFREDDO DI SICILIA,FIUMEFREDDO DI SICILIA,FIUMEFREDDO SICILIA,FIUMEFREDDO SICILIA,37.79519,15.205649
1329,FIUMELATTE,FIUMELATTE,,FIUMELATTE,45.9991,9.29277
1330,FIUMETORTO,FIUMETORTO,,FIUMETORTO,37.9666,13.7749
1327,FIUMICINO AEROPORTO,FIUMICINO AEROPORTO,FIUMICINO,FIUMICINO,41.7729,12.2356
1332,FIVIZZANO-GASSANO,FIVIZZANO GASSANO,,FIVIZZANO GASSANO,44.20013,10.105169
1333,FIVIZZANO ROMETTA-SOLIERA,FIVIZZANO ROMETTA SOLIERA,,FIVIZZANO ROMETTA SOLIERA,44.2017,10.0594
1334,FOGGIA,FOGGIA,,FOGGIA,41.465944,15.555886
1336,FOLIGNO,FOLIGNO,,FOLIGNO,42.954297,12.711043
1337,FOLLONICA,FOLLONICA,,FOLLONICA,42.926602,10.755584
1338,FONDI-SPERLONGA,FONDI SPERLONGA,,FONDI SPERLONGA,41.337623,13.424913
1342,FONTANAFREDDA,FONTANAFREDDA,,FONTANAFREDDA,45.967751,12.575144
1344,FONTANETTO PO,FONTANETTO PO,,FONTANETTO PO,45.191227,8.188921
1345,FONTANIVA,FONTANIVA,,FONTANIVA,45.634791,11.749027
1346,FONTECCHIO,FONTECCHIO,,FONTECCHIO,42.225326,13.598755
1348,FORENZA,FORENZA,,FORENZA,40.866849,15.725378
1349,FORGARIA BAGNI ANDUINS,FORGARIA BAGNI ANDUINS,,FORGARIA BAGNI ANDUINS,46.201767,12.960512
1351,FORLIMPOPOLI-BERTINORO,FORLIMPOPOLI BERTINORO,,FORLIMPOPOLI BERTINORO,44.194179,12.128147
1350,FORLI',FORLI,,FORLI,44.224284,12.054831
1352,FORMIA-GAETA,FORMIA GAETA,FORMIA,FORMIA,41.258833,13.606207
