"country","name","url","lon","lat","h3","population"
"IT","Alpignano","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=416&arrivals=False",7.523,45.090818,613045376796065791,2895
"GB","Alresford","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALR",0.997114,51.853828,612934763927306239,1278
"GB","Alsager","https://www.realtimetrains.co.uk/search/simple/gb-nr:ASG",-2.29861,53.093054,612935728558505983,963
"IT","Altamura","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=418&arrivals=False",16.551765,40.837697,613026681367560191,1090
"IT","Altare","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=196&arrivals=False",8.332604,44.336227,613045580425330687,262
"IT","Altavilla Irpina","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=419&arrivals=False",14.784954,41.015108,613027095041277951,66
"IT","Altavilla Milicia","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=420&arrivals=False",13.554402,38.048291,613027912760688639,53
"IT","Altavilla Tavernelle","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=421&arrivals=False",11.453533,45.511,613028600257445887,2470
"GB","Althorne","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALN",0.753603,51.647526,612934729726951423,101
"GB","Althorpe","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALP",-0.732558,53.585262,612933936944775167,324
"FR","Altkirch","https://www.garesetconnexions.sncf/fr/gares-services/altkirch/horaires#main-content",7.2392493,47.6270174,613043730374459391,995
"GB","Altnabreac","https://www.realtimetrains.co.uk/search/simple/gb-nr:ABC",-3.705279,58.388439,612932131852648447,2
"GB","Alton","https://www.realtimetrains.co.uk/search/simple/gb-nr:AON",-0.967658,51.151947,612935510026878975,2039
"IT","Altopascio","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=422&arrivals=False",10.672532,43.81737,613028501737439231,2459
"GB","Altrincham","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALT",-2.347212,53.3874,612934963964149759,2226
"GB","Alvechurch","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALV",-1.967854,52.346607,612935691619270655,102
"IT","Alviano","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=423&arrivals=False",12.259623,42.591789,613026412216975359,221
"FR","Alès","https://www.garesetconnexions.sncf/fr/gares-services/ales/horaires#main-content",4.084948,44.127825,613499779076325375,1691
"FR","Amagne - Lucquy","https://www.garesetconnexions.sncf/fr/gares-services/amagne-lucquy/horaires#main-content",4.4738775,49.5238187,613046091669045247,222
"IT","Amantea","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=8&arrivals=False",16.068254,39.134799,613027838756388863,2213
"FR","Ambazac","https://www.garesetconnexions.sncf/fr/gares-services/ambazac/horaires#main-content",1.406501,45.9529056,612919281404870655,354
"GB","Ambergate","https://www.realtimetrains.co.uk/search/simple/gb-nr:AMB",-1.4807000000000001,53.060501,612935715539386367,251
